_id,value_seconds,_id,value_firsts,abs_diff,percent_diff
1947_3,26,1947_3,30,-4,-0.13333333333333333
1947_4,24,1947_4,15,9,0.6
1947_5,21,1947_5,17,4,0.23529411764705882
1947_6,22,1947_6,18,4,0.2222222222222222
1947_7,30,1947_7,17,13,0.7647058823529411
1947_8,18,1947_8,15,3,0.2
1947_9,24,1947_9,18,6,0.3333333333333333
1948_1,45,1948_1,24,21,0.875
1948_10,32,1948_10,29,3,0.10344827586206896
1948_11,26,1948_11,21,5,0.23809523809523808
1948_12,30,1948_12,20,10,0.5
1948_2,32,1948_2,23,9,0.391304347826087
1948_3,33,1948_3,25,8,0.32
1948_4,36,1948_4,21,15,0.7142857142857143
1948_5,25,1948_5,20,5,0.25
1948_6,29,1948_6,20,9,0.45
1948_7,40,1948_7,19,21,1.105263157894737
1948_8,18,1948_8,11,7,0.6363636363636364
1948_9,37,1948_9,24,13,0.5416666666666666
1949_1,44,1949_1,29,15,0.5172413793103449
1949_10,32,1949_10,36,-4,-0.1111111111111111
1949_11,41,1949_11,27,14,0.5185185185185185
1949_12,39,1949_12,32,7,0.21875
1949_2,26,1949_2,14,12,0.8571428571428571
1949_3,33,1949_3,28,5,0.17857142857142858
1949_4,32,1949_4,29,3,0.10344827586206896
1949_5,35,1949_5,22,13,0.5909090909090909
1949_6,28,1949_6,27,1,0.037037037037037035
1949_7,29,1949_7,23,6,0.2608695652173913
1949_8,32,1949_8,18,14,0.7777777777777778
1949_9,43,1949_9,16,27,1.6875
1950_1,44,1950_1,35,9,0.2571428571428571
1950_10,42,1950_10,27,15,0.5555555555555556
1950_11,23,1950_11,18,5,0.2777777777777778
1950_12,38,1950_12,32,6,0.1875
1950_2,28,1950_2,21,7,0.3333333333333333
1950_3,24,1950_3,21,3,0.14285714285714285
1950_4,41,1950_4,31,10,0.3225806451612903
1950_5,47,1950_5,26,21,0.8076923076923077
1950_6,28,1950_6,21,7,0.3333333333333333
1950_7,37,1950_7,32,5,0.15625
1950_8,34,1950_8,21,13,0.6190476190476191
1950_9,34,1950_9,22,12,0.5454545454545454
1951_1,53,1951_1,38,15,0.39473684210526316
1951_10,49,1951_10,26,23,0.8846153846153846
1951_11,28,1951_11,31,-3,-0.0967741935483871
1951_12,54,1951_12,40,14,0.35
1951_2,39,1951_2,32,7,0.21875
1951_3,38,1951_3,28,10,0.35714285714285715
1951_4,38,1951_4,31,7,0.22580645161290322
1951_5,30,1951_5,30,0,0.0
1951_6,43,1951_6,35,8,0.22857142857142856
1951_7,44,1951_7,36,8,0.2222222222222222
1951_8,24,1951_8,23,1,0.043478260869565216
1951_9,37,1951_9,20,17,0.85
1952_1,86,1952_1,59,27,0.4576271186440678
1952_10,44,1952_10,40,4,0.1
1952_11,42,1952_11,29,13,0.4482758620689655
1952_12,40,1952_12,32,8,0.25
1952_2,26,1952_2,21,5,0.23809523809523808
1952_3,47,1952_3,29,18,0.6206896551724138
1952_4,39,1952_4,29,10,0.3448275862068966
1952_5,33,1952_5,26,7,0.2692307692307692
1952_6,27,1952_6,19,8,0.42105263157894735
1952_7,43,1952_7,27,16,0.5925925925925926
1952_8,28,1952_8,18,10,0.5555555555555556
1952_9,42,1952_9,29,13,0.4482758620689655
1953_1,65,1953_1,48,17,0.3541666666666667
1953_10,49,1953_10,36,13,0.3611111111111111
1953_11,28,1953_11,23,5,0.21739130434782608
1953_12,43,1953_12,32,11,0.34375
1953_2,39,1953_2,23,16,0.6956521739130435
1953_3,49,1953_3,37,12,0.32432432432432434
1953_4,36,1953_4,31,5,0.16129032258064516
1953_5,53,1953_5,34,19,0.5588235294117647
1953_6,41,1953_6,32,9,0.28125
1953_7,39,1953_7,24,15,0.625
1953_8,36,1953_8,24,12,0.5
1953_9,38,1953_9,20,18,0.9
1954_1,90,1954_1,52,38,0.7307692307692307
1954_10,53,1954_10,34,19,0.5588235294117647
1954_11,36,1954_11,31,5,0.16129032258064516
1954_12,57,1954_12,29,28,0.9655172413793104
1954_2,34,1954_2,31,3,0.0967741935483871
1954_3,48,1954_3,27,21,0.7777777777777778
1954_4,41,1954_4,34,7,0.20588235294117646
1954_5,36,1954_5,25,11,0.44
1954_6,43,1954_6,30,13,0.43333333333333335
1954_7,47,1954_7,30,17,0.5666666666666667
1954_8,40,1954_8,18,22,1.2222222222222223
1954_9,52,1954_9,43,9,0.20930232558139536
1955_1,71,1955_1,44,27,0.6136363636363636
1955_10,51,1955_10,36,15,0.4166666666666667
1955_11,57,1955_11,40,17,0.425
1955_12,61,1955_12,25,36,1.44
1955_2,63,1955_2,32,31,0.96875
1955_3,60,1955_3,39,21,0.5384615384615384
1955_4,56,1955_4,29,27,0.9310344827586207
1955_5,58,1955_5,29,29,1.0
1955_6,43,1955_6,35,8,0.22857142857142856
1955_7,52,1955_7,35,17,0.4857142857142857
1955_8,44,1955_8,15,29,1.9333333333333333
1955_9,48,1955_9,37,11,0.2972972972972973
1956_1,70,1956_1,47,23,0.48936170212765956
1956_10,58,1956_10,45,13,0.28888888888888886
1956_11,47,1956_11,34,13,0.38235294117647056
1956_12,68,1956_12,51,17,0.3333333333333333
1956_2,43,1956_2,32,11,0.34375
1956_3,53,1956_3,43,10,0.23255813953488372
1956_4,45,1956_4,40,5,0.125
1956_5,46,1956_5,33,13,0.3939393939393939
1956_6,43,1956_6,36,7,0.19444444444444445
1956_7,53,1956_7,43,10,0.23255813953488372
1956_8,30,1956_8,17,13,0.7647058823529411
1956_9,55,1956_9,36,19,0.5277777777777778
1957_1,101,1957_1,64,37,0.578125
1957_10,45,1957_10,44,1,0.022727272727272728
1957_11,51,1957_11,41,10,0.24390243902439024
1957_12,63,1957_12,29,34,1.1724137931034482
1957_2,41,1957_2,29,12,0.41379310344827586
1957_3,53,1957_3,48,5,0.10416666666666667
1957_4,53,1957_4,47,6,0.1276595744680851
1957_5,50,1957_5,31,19,0.6129032258064516
1957_6,70,1957_6,45,25,0.5555555555555556
1957_7,56,1957_7,33,23,0.696969696969697
1957_8,44,1957_8,33,11,0.3333333333333333
1957_9,45,1957_9,36,9,0.25
1958_1,99,1958_1,60,39,0.65
1958_10,66,1958_10,51,15,0.29411764705882354
1958_11,54,1958_11,28,26,0.9285714285714286
1958_12,80,1958_12,60,20,0.3333333333333333
1958_2,61,1958_2,35,26,0.7428571428571429
1958_3,74,1958_3,38,36,0.9473684210526315
1958_4,64,1958_4,43,21,0.4883720930232558
1958_5,48,1958_5,41,7,0.17073170731707318
1958_6,61,1958_6,35,26,0.7428571428571429
1958_7,78,1958_7,46,32,0.6956521739130435
1958_8,53,1958_8,27,26,0.9629629629629629
1958_9,74,1958_9,32,42,1.3125
1959_1,97,1959_1,78,19,0.24358974358974358
1959_10,58,1959_10,42,16,0.38095238095238093
1959_11,59,1959_11,36,23,0.6388888888888888
1959_12,84,1959_12,46,38,0.8260869565217391
1959_2,51,1959_2,31,20,0.6451612903225806
1959_3,68,1959_3,33,35,1.0606060606060606
1959_4,58,1959_4,46,12,0.2608695652173913
1959_5,66,1959_5,21,45,2.142857142857143
1959_6,58,1959_6,37,21,0.5675675675675675
1959_7,68,1959_7,51,17,0.3333333333333333
1959_8,50,1959_8,29,21,0.7241379310344828
1959_9,62,1959_9,64,-2,-0.03125
1960_1,134,1960_1,72,62,0.8611111111111112
1960_10,67,1960_10,53,14,0.2641509433962264
1960_11,61,1960_11,42,19,0.4523809523809524
1960_12,61,1960_12,53,8,0.1509433962264151
1960_2,54,1960_2,26,28,1.0769230769230769
1960_3,78,1960_3,52,26,0.5
1960_4,64,1960_4,32,32,1.0
1960_5,60,1960_5,41,19,0.4634146341463415
1960_6,70,1960_6,47,23,0.48936170212765956
1960_7,70,1960_7,39,31,0.7948717948717948
1960_8,63,1960_8,43,20,0.46511627906976744
1960_9,85,1960_9,45,40,0.8888888888888888
1961_1,115,1961_1,75,40,0.5333333333333333
1961_10,80,1961_10,50,30,0.6
1961_11,73,1961_11,41,32,0.7804878048780488
1961_12,89,1961_12,59,30,0.5084745762711864
1961_2,75,1961_2,46,29,0.6304347826086957
1961_3,69,1961_3,47,22,0.46808510638297873
1961_4,78,1961_4,45,33,0.7333333333333333
1961_5,72,1961_5,41,31,0.7560975609756098
1961_6,69,1961_6,48,21,0.4375
1961_7,111,1961_7,42,69,1.6428571428571428
1961_8,52,1961_8,43,9,0.20930232558139536
1961_9,108,1961_9,53,55,1.0377358490566038
1962_1,132,1962_1,78,54,0.6923076923076923
1962_10,74,1962_10,68,6,0.08823529411764706
1962_11,81,1962_11,47,34,0.723404255319149
1962_12,90,1962_12,78,12,0.15384615384615385
1962_2,76,1962_2,47,29,0.6170212765957447
1962_3,98,1962_3,60,38,0.6333333333333333
1962_4,91,1962_4,49,42,0.8571428571428571
1962_5,68,1962_5,63,5,0.07936507936507936
1962_6,94,1962_6,54,40,0.7407407407407407
1962_7,94,1962_7,60,34,0.5666666666666667
1962_8,69,1962_8,30,39,1.3
1962_9,109,1962_9,62,47,0.7580645161290323
1963_1,185,1963_1,118,67,0.5677966101694916
1963_10,95,1963_10,77,18,0.23376623376623376
1963_11,79,1963_11,57,22,0.38596491228070173
1963_12,95,1963_12,74,21,0.28378378378378377
1963_2,72,1963_2,46,26,0.5652173913043478
1963_3,85,1963_3,53,32,0.6037735849056604
1963_4,88,1963_4,56,32,0.5714285714285714
1963_5,77,1963_5,65,12,0.18461538461538463
1963_6,70,1963_6,47,23,0.48936170212765956
1963_7,103,1963_7,83,20,0.24096385542168675
1963_8,84,1963_8,40,44,1.1
1963_9,96,1963_9,66,30,0.45454545454545453
1964_1,190,1964_1,113,77,0.6814159292035398
1964_10,95,1964_10,61,34,0.5573770491803278
1964_11,108,1964_11,65,43,0.6615384615384615
1964_12,136,1964_12,92,44,0.4782608695652174
1964_2,89,1964_2,60,29,0.48333333333333334
1964_3,127,1964_3,66,61,0.9242424242424242
1964_4,111,1964_4,55,56,1.018181818181818
1964_5,114,1964_5,73,41,0.5616438356164384
1964_6,100,1964_6,64,36,0.5625
1964_7,134,1964_7,95,39,0.4105263157894737
1964_8,93,1964_8,63,30,0.47619047619047616
1964_9,108,1964_9,74,34,0.4594594594594595
1965_1,203,1965_1,128,75,0.5859375
1965_10,95,1965_10,77,18,0.23376623376623376
1965_11,135,1965_11,95,40,0.42105263157894735
1965_12,110,1965_12,79,31,0.3924050632911392
1965_2,125,1965_2,53,72,1.3584905660377358
1965_3,137,1965_3,91,46,0.5054945054945055
1965_4,122,1965_4,62,60,0.967741935483871
1965_5,99,1965_5,69,30,0.43478260869565216
1965_6,104,1965_6,61,43,0.7049180327868853
1965_7,143,1965_7,94,49,0.5212765957446809
1965_8,92,1965_8,62,30,0.4838709677419355
1965_9,111,1965_9,88,23,0.26136363636363635
1966_1,214,1966_1,123,91,0.7398373983739838
1966_10,131,1966_10,103,28,0.27184466019417475
1966_11,124,1966_11,89,35,0.39325842696629215
1966_12,141,1966_12,101,40,0.39603960396039606
1966_2,107,1966_2,67,40,0.5970149253731343
1966_3,139,1966_3,111,28,0.25225225225225223
1966_4,129,1966_4,90,39,0.43333333333333335
1966_5,106,1966_5,77,29,0.37662337662337664
1966_6,132,1966_6,94,38,0.40425531914893614
1966_7,144,1966_7,106,38,0.3584905660377358
1966_8,114,1966_8,66,48,0.7272727272727273
1966_9,140,1966_9,112,28,0.25
1967_1,235,1967_1,136,99,0.7279411764705882
1967_10,141,1967_10,111,30,0.2702702702702703
1967_11,133,1967_11,86,47,0.5465116279069767
1967_12,169,1967_12,97,72,0.7422680412371134
1967_2,112,1967_2,82,30,0.36585365853658536
1967_3,165,1967_3,120,45,0.375
1967_4,139,1967_4,103,36,0.34951456310679613
1967_5,128,1967_5,92,36,0.391304347826087
1967_6,132,1967_6,88,44,0.5
1967_7,144,1967_7,99,45,0.45454545454545453
1967_8,117,1967_8,64,53,0.828125
1967_9,156,1967_9,106,50,0.4716981132075472
1968_1,275,1968_1,210,65,0.30952380952380953
1968_10,147,1968_10,101,46,0.45544554455445546
1968_11,152,1968_11,102,50,0.49019607843137253
1968_12,164,1968_12,119,45,0.37815126050420167
1968_2,118,1968_2,82,36,0.43902439024390244
1968_3,209,1968_3,125,84,0.672
1968_4,165,1968_4,110,55,0.5
1968_5,146,1968_5,94,52,0.5531914893617021
1968_6,185,1968_6,105,80,0.7619047619047619
1968_7,154,1968_7,104,50,0.4807692307692308
1968_8,131,1968_8,89,42,0.47191011235955055
1968_9,171,1968_9,124,47,0.3790322580645161
1969_1,286,1969_1,188,98,0.5212765957446809
1969_10,180,1969_10,130,50,0.38461538461538464
1969_11,180,1969_11,131,49,0.37404580152671757
1969_12,262,1969_12,210,52,0.24761904761904763
1969_2,144,1969_2,103,41,0.39805825242718446
1969_3,186,1969_3,127,59,0.4645669291338583
1969_4,168,1969_4,128,40,0.3125
1969_5,164,1969_5,117,47,0.4017094017094017
1969_6,176,1969_6,101,75,0.7425742574257426
1969_7,169,1969_7,106,63,0.5943396226415094
1969_8,107,1969_8,81,26,0.32098765432098764
1969_9,185,1969_9,128,57,0.4453125
1970_1,389,1970_1,326,63,0.19325153374233128
1970_10,222,1970_10,162,60,0.37037037037037035
1970_11,240,1970_11,154,86,0.5584415584415584
1970_12,245,1970_12,174,71,0.40804597701149425
1970_2,177,1970_2,136,41,0.3014705882352941
1970_3,220,1970_3,156,64,0.41025641025641024
1970_4,190,1970_4,131,59,0.45038167938931295
1970_5,192,1970_5,131,61,0.46564885496183206
1970_6,200,1970_6,166,34,0.20481927710843373
1970_7,228,1970_7,182,46,0.25274725274725274
1970_8,185,1970_8,124,61,0.49193548387096775
1970_9,266,1970_9,188,78,0.4148936170212766
1971_1,386,1971_1,247,139,0.562753036437247
1971_10,209,1971_10,149,60,0.40268456375838924
1971_11,236,1971_11,156,80,0.5128205128205128
1971_12,325,1971_12,214,111,0.5186915887850467
1971_2,186,1971_2,154,32,0.2077922077922078
1971_3,247,1971_3,155,92,0.5935483870967742
1971_4,223,1971_4,162,61,0.3765432098765432
1971_5,209,1971_5,138,71,0.5144927536231884
1971_6,295,1971_6,173,122,0.7052023121387283
1971_7,246,1971_7,179,67,0.3743016759776536
1971_8,238,1971_8,162,76,0.4691358024691358
1971_9,256,1971_9,183,73,0.3989071038251366
1972_1,431,1972_1,276,155,0.5615942028985508
1972_10,302,1972_10,204,98,0.4803921568627451
1972_11,311,1972_11,177,134,0.7570621468926554
1972_12,277,1972_12,216,61,0.2824074074074074
1972_2,268,1972_2,184,84,0.45652173913043476
1972_3,266,1972_3,177,89,0.5028248587570622
1972_4,231,1972_4,183,48,0.26229508196721313
1972_5,268,1972_5,168,100,0.5952380952380952
1972_6,276,1972_6,213,63,0.29577464788732394
1972_7,301,1972_7,226,75,0.33185840707964603
1972_8,224,1972_8,148,76,0.5135135135135135
1972_9,308,1972_9,230,78,0.3391304347826087
1973_1,518,1973_1,356,162,0.4550561797752809
1973_10,345,1973_10,241,104,0.4315352697095436
1973_11,295,1973_11,203,92,0.45320197044334976
1973_12,375,1973_12,273,102,0.37362637362637363
1973_2,273,1973_2,195,78,0.4
1973_3,327,1973_3,257,70,0.2723735408560311
1973_4,286,1973_4,211,75,0.35545023696682465
1973_5,310,1973_5,229,81,0.3537117903930131
1973_6,340,1973_6,239,101,0.4225941422594142
1973_7,373,1973_7,269,104,0.38661710037174724
1973_8,285,1973_8,186,99,0.532258064516129
1973_9,357,1973_9,251,106,0.42231075697211157
1974_1,529,1974_1,377,152,0.40318302387267907
1974_10,332,1974_10,262,70,0.26717557251908397
1974_11,314,1974_11,275,39,0.14181818181818182
1974_12,400,1974_12,308,92,0.2987012987012987
1974_2,286,1974_2,241,45,0.18672199170124482
1974_3,379,1974_3,279,100,0.35842293906810035
1974_4,467,1974_4,309,158,0.511326860841424
1974_5,336,1974_5,215,121,0.5627906976744186
1974_6,384,1974_6,272,112,0.4117647058823529
1974_7,361,1974_7,258,103,0.3992248062015504
1974_8,317,1974_8,233,84,0.3605150214592275
1974_9,348,1974_9,288,60,0.20833333333333334
1975_1,561,1975_1,424,137,0.3231132075471698
1975_10,354,1975_10,275,79,0.2872727272727273
1975_11,386,1975_11,264,122,0.4621212121212121
1975_12,458,1975_12,358,100,0.27932960893854747
1975_2,327,1975_2,261,66,0.25287356321839083
1975_3,434,1975_3,293,141,0.4812286689419795
1975_4,409,1975_4,327,82,0.25076452599388377
1975_5,330,1975_5,254,76,0.2992125984251969
1975_6,447,1975_6,320,127,0.396875
1975_7,368,1975_7,289,79,0.27335640138408307
1975_8,331,1975_8,246,85,0.34552845528455284
1975_9,423,1975_9,286,137,0.479020979020979
1976_1,768,1976_1,542,226,0.41697416974169743
1976_10,399,1976_10,289,110,0.3806228373702422
1976_11,362,1976_11,269,93,0.34572490706319703
1976_12,443,1976_12,353,90,0.254957507082153
1976_2,324,1976_2,269,55,0.20446096654275092
1976_3,445,1976_3,315,130,0.4126984126984127
1976_4,374,1976_4,325,49,0.15076923076923077
1976_5,419,1976_5,307,112,0.36482084690553745
1976_6,446,1976_6,307,139,0.4527687296416938
1976_7,448,1976_7,364,84,0.23076923076923078
1976_8,312,1976_8,230,82,0.3565217391304348
1976_9,466,1976_9,348,118,0.3390804597701149
1977_1,847,1977_1,609,238,0.39080459770114945
1977_10,432,1977_10,364,68,0.18681318681318682
1977_11,373,1977_11,326,47,0.1441717791411043
1977_12,543,1977_12,462,81,0.17532467532467533
1977_2,403,1977_2,274,129,0.4708029197080292
1977_3,512,1977_3,341,171,0.501466275659824
1977_4,601,1977_4,502,99,0.19721115537848605
1977_5,397,1977_5,293,104,0.35494880546075086
1977_6,485,1977_6,369,116,0.3143631436314363
1977_7,404,1977_7,315,89,0.28253968253968254
1977_8,392,1977_8,240,152,0.6333333333333333
1977_9,495,1977_9,376,119,0.31648936170212766
1978_1,1013,1978_1,725,288,0.3972413793103448
1978_10,517,1978_10,369,148,0.4010840108401084
1978_11,458,1978_11,374,84,0.22459893048128343
1978_12,587,1978_12,453,134,0.2958057395143488
1978_2,436,1978_2,309,127,0.4110032362459547
1978_3,488,1978_3,377,111,0.29442970822281167
1978_4,598,1978_4,470,128,0.2723404255319149
1978_5,429,1978_5,345,84,0.24347826086956523
1978_6,502,1978_6,375,127,0.33866666666666667
1978_7,475,1978_7,351,124,0.35327635327635326
1978_8,421,1978_8,318,103,0.3238993710691824
1978_9,559,1978_9,456,103,0.22587719298245615
1979_1,1155,1979_1,902,253,0.2804878048780488
1979_10,555,1979_10,423,132,0.3120567375886525
1979_11,509,1979_11,386,123,0.31865284974093266
1979_12,666,1979_12,485,181,0.3731958762886598
1979_2,474,1979_2,365,109,0.29863013698630136
1979_3,590,1979_3,457,133,0.2910284463894967
1979_4,490,1979_4,392,98,0.25
1979_5,436,1979_5,352,84,0.23863636363636365
1979_6,549,1979_6,431,118,0.2737819025522042
1979_7,533,1979_7,440,93,0.21136363636363636
1979_8,427,1979_8,351,76,0.21652421652421652
1979_9,584,1979_9,460,124,0.26956521739130435
1980_1,1319,1980_1,1073,246,0.22926374650512582
1980_10,649,1980_10,491,158,0.32179226069246436
1980_11,543,1980_11,407,136,0.33415233415233414
1980_12,776,1980_12,573,203,0.3542757417102967
1980_2,562,1980_2,433,129,0.2979214780600462
1980_3,681,1980_3,530,151,0.2849056603773585
1980_4,608,1980_4,453,155,0.34216335540838855
1980_5,564,1980_5,420,144,0.34285714285714286
1980_6,645,1980_6,523,122,0.2332695984703633
1980_7,669,1980_7,516,153,0.29651162790697677
1980_8,541,1980_8,441,100,0.22675736961451248
1980_9,694,1980_9,598,96,0.1605351170568562
1981_1,1535,1981_1,1159,376,0.3244176013805004
1981_10,682,1981_10,528,154,0.2916666666666667
1981_11,663,1981_11,530,133,0.2509433962264151
1981_12,803,1981_12,635,168,0.26456692913385826
1981_2,601,1981_2,474,127,0.2679324894514768
1981_3,788,1981_3,641,147,0.22932917316692666
1981_4,974,1981_4,759,215,0.28326745718050067
1981_5,655,1981_5,545,110,0.2018348623853211
1981_6,736,1981_6,631,105,0.1664025356576862
1981_7,683,1981_7,542,141,0.26014760147601473
1981_8,584,1981_8,473,111,0.2346723044397463
1981_9,791,1981_9,636,155,0.24371069182389937
1982_1,1640,1982_1,1292,348,0.2693498452012384
1982_10,770,1982_10,630,140,0.2222222222222222
1982_11,739,1982_11,598,141,0.23578595317725753
1982_12,961,1982_12,761,200,0.2628120893561104
1982_2,658,1982_2,501,157,0.313373253493014
1982_3,832,1982_3,673,159,0.2362555720653789
1982_4,772,1982_4,620,152,0.24516129032258063
1982_5,665,1982_5,538,127,0.23605947955390336
1982_6,752,1982_6,648,104,0.16049382716049382
1982_7,753,1982_7,649,104,0.16024653312788906
1982_8,619,1982_8,494,125,0.25303643724696356
1982_9,823,1982_9,695,128,0.1841726618705036
1983_1,1893,1983_1,1506,387,0.25697211155378485
1983_10,774,1983_10,663,111,0.167420814479638
1983_11,777,1983_11,638,139,0.21786833855799373
1983_12,948,1983_12,783,165,0.210727969348659
1983_2,736,1983_2,614,122,0.1986970684039088
1983_3,857,1983_3,721,136,0.18862690707350901
1983_4,774,1983_4,632,142,0.22468354430379747
1983_5,807,1983_5,649,158,0.24345146379044685
1983_6,842,1983_6,721,121,0.1678224687933426
1983_7,921,1983_7,726,195,0.26859504132231404
1983_8,731,1983_8,581,150,0.25817555938037867
1983_9,887,1983_9,738,149,0.2018970189701897
1984_1,2097,1984_1,1725,372,0.21565217391304348
1984_10,948,1984_10,819,129,0.1575091575091575
1984_11,860,1984_11,755,105,0.1390728476821192
1984_12,1114,1984_12,857,257,0.2998833138856476
1984_2,782,1984_2,670,112,0.16716417910447762
1984_3,1031,1984_3,816,215,0.26348039215686275
1984_4,1233,1984_4,984,249,0.2530487804878049
1984_5,886,1984_5,746,140,0.1876675603217158
1984_6,980,1984_6,853,127,0.1488862837045721
1984_7,937,1984_7,760,177,0.23289473684210527
1984_8,855,1984_8,702,153,0.21794871794871795
